storyID,S4E1 Similarities,S4E2 Similarities,Correct Ending
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,0.29694482684135437,0.3367763161659241,1
bff9f820-9605-4875-b9af-fe6f14d04256,0.8428140878677368,0.4446345567703247,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,0.2722036838531494,0.36868447065353394,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,0.8332380056381226,0.7091191411018372,1
69ac9b05-b956-402f-9fff-1f926ef9176b,0.5736582279205322,0.48642295598983765,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,0.5397481918334961,0.4433807134628296,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,0.6045718193054199,0.20000100135803223,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,0.3407001495361328,0.17880642414093018,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,0.28348517417907715,0.41360217332839966,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,0.31065958738327026,0.4513705372810364,1
a7905e16-15be-433f-bdef-b488a83e4582,0.3748992085456848,0.2996092736721039,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,0.6735671758651733,0.6306923627853394,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,0.44198355078697205,0.19644498825073242,2
0fe46de6-6ee3-4932-a578-268917372566,0.2706288695335388,0.3823564052581787,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,0.122475266456604,0.12183617055416107,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,0.313592791557312,0.3317784070968628,2
fa0d318c-d286-4c8e-adda-c2590f100f02,0.44324952363967896,0.6703851222991943,2
501c6884-8885-4df3-ae8c-f3f9328fde54,0.37590551376342773,0.5403531789779663,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,0.36322805285453796,0.16365328431129456,1
ba87797c-dc31-402b-8740-d30c093d4df7,0.6464802026748657,0.4296908676624298,1
384621a9-d9b6-436d-8914-61a93d916015,0.34383103251457214,0.34273260831832886,1
f531b039-67a6-4797-989d-24f716ed4073,0.33219200372695923,0.41093945503234863,2
60facd71-c194-427a-9127-471d5844785e,0.32295316457748413,0.22189098596572876,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,0.1274011731147766,0.25858551263809204,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,0.21050110459327698,0.12277759611606598,1
696b1a71-b684-45ec-8435-7b48274ee411,0.48084646463394165,0.26438647508621216,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,0.3730645477771759,0.35044047236442566,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,0.22140999138355255,0.1562284678220749,2
