storyID,CosSimsS4E1,CosSimsS4E2
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,0.2976914644241333,0.39082208275794983
bff9f820-9605-4875-b9af-fe6f14d04256,0.7701406478881836,0.3981800377368927
e8f628d5-9f97-40ed-8611-fc0e774673c4,0.27726733684539795,0.4019138514995575
f5226bfe-9f26-4377-b05f-3d9568dbdec1,0.718230664730072,0.5856587290763855
69ac9b05-b956-402f-9fff-1f926ef9176b,0.59031081199646,0.5324745178222656
d80cabdd-7a85-47e3-86be-5ce6591ca51e,0.49318110942840576,0.38943231105804443
58090d3f-8a91-4c89-83ef-2b4994de9d24,0.5431962609291077,0.4291394054889679
e17053ac-2046-48c8-a7a2-7b9509c10e64,0.42244845628738403,0.2669675946235657
69b26ae4-b778-4cd1-9f13-27d28fd4430e,0.36692681908607483,0.44540935754776
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,0.2885777950286865,0.4668736755847931
a7905e16-15be-433f-bdef-b488a83e4582,0.35625654458999634,0.23189009726047516
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,0.5756821036338806,0.63038569688797
1edf348d-6fce-4ea3-937c-28ade02f28b8,0.42789945006370544,0.19862236082553864
0fe46de6-6ee3-4932-a578-268917372566,0.2643287479877472,0.41862010955810547
625d1e13-8bd3-40b3-ac45-0b16a549fc69,0.1647687554359436,0.10708718746900558
aa615e4f-83c1-4b65-96a4-6a989d253a52,0.3017292022705078,0.3329779803752899
fa0d318c-d286-4c8e-adda-c2590f100f02,0.3672690987586975,0.47391605377197266
501c6884-8885-4df3-ae8c-f3f9328fde54,0.28671348094940186,0.4131297171115875
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,0.3860134184360504,0.1584703028202057
ba87797c-dc31-402b-8740-d30c093d4df7,0.6171551942825317,0.41119682788848877
384621a9-d9b6-436d-8914-61a93d916015,0.29671773314476013,0.39024150371551514
f531b039-67a6-4797-989d-24f716ed4073,0.32489410042762756,0.46906906366348267
60facd71-c194-427a-9127-471d5844785e,0.29335087537765503,0.14616188406944275
